Company Name,Symbol,Year,Month,Day,Closing Price,Sector,Industry,Market Cap,Price to Earnings,PEG,Price to Book,Dividend,Payout Ratio,Value Metric
Lithium Americas Corp.,LAC,2021,3,2,23.85,Basic Materials,Other Industrial Metals & Mining,2850000000.0,N/A,N/A,21.51,N/A,0.0,N/A
D-BOX Technologies Inc.,DBO,2021,3,2,0.11,Technology,Consumer Electronics,19350000.0,N/A,N/A,1.75,N/A,0.0,N/A
Labrador Iron Ore Royalty Corporation,LIF,2021,3,2,38.6,Basic Materials,Steel,2470000000.0,12.34,1.14,4.07,0.0661,0.3195,47.109839602288716
Picton Mahoney Tactical Income Fund,PMB-UN,2021,3,2,7.96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Avcorp Industries Inc.,AVP,2021,2,26,0.07,Industrials,Aerospace & Defense,25770000.0,N/A,N/A,N/A,N/A,0.0,N/A
,DYA-WT,2021,2,4,0.385,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Real Estate & E-Comm Split Corp.,RS,2021,3,2,13.3,Financial Services,Asset Management,53200000.0,N/A,N/A,N/A,0.0902,N/A,N/A
Mandalay Resources Corporation,MND,2021,3,2,2.16,Basic Materials,Gold,197050000.0,21.6,N/A,1.45,N/A,0.0,31.32
,TV-WT,2021,3,2,0.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sustainable Innovation & Health Dividend Fund,SIH-UN,2021,3,2,9.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,KRR-WT,2021,2,26,0.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Titan Mining Corporation,TI,2021,3,2,0.69,Basic Materials,Other Industrial Metals & Mining,95900000.0,N/A,N/A,4.89,N/A,0.0,N/A
North American Financial 15 Split Corp.,FFN,2021,3,2,6.66,Financial Services,Asset Management,110240000.0,N/A,N/A,1.7,0.2064,N/A,N/A
FAIRFAX FINANCIAL HOLDINGS LIMI,FFH-U,2021,2,17,413.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Scandium International Mining Corp.,SCY,2021,3,2,0.225,Basic Materials,Other Industrial Metals & Mining,70490000.0,N/A,N/A,N/A,N/A,0.0,N/A
Magna International Inc.,MG,2021,3,2,109.03,Consumer Cyclical,Auto Parts,32770000000.000004,43.27,N/A,2.88,0.0189,0.6349,122.30601629207972
Roots Corporation,ROOT,2021,3,2,2.83,Consumer Cyclical,Apparel Retail,119420000.0,N/A,-0.61,0.79,N/A,0.0,N/A
Canadian General Investments Ltd,CGI,2021,3,2,37.35,N/A,N/A,779160000.0,14.76,N/A,N/A,N/A,N/A,N/A
Pinetree Capital Ltd.,PNP,2021,3,2,2.1,Financial Services,Capital Markets,18990000.0,15.79,N/A,0.99,N/A,0.0,15.6321
UEX Corporation,UEX,2021,3,2,0.36,Basic Materials,Other Industrial Metals & Mining,162790000.0,N/A,N/A,10.59,N/A,0.0,N/A
Euromax Resources Ltd.,EOX,2021,3,2,0.095,Basic Materials,Other Industrial Metals & Mining,31530000.0,N/A,N/A,5.28,N/A,0.0,N/A
IMV Inc.,IMV,2021,3,2,4.24,Healthcare,Biotechnology,284480000.0,N/A,N/A,5.83,N/A,0.0,N/A
Inter Pipeline Ltd.,IPL,2021,3,2,17.76,Energy,Oil & Gas Midstream,7620000000.0,21.14,-2.6,1.81,0.027000000000000003,0.9375,37.257448880233696
Trillium Therapeutics Inc.,TRIL,2021,3,2,13.44,Healthcare,Biotechnology,1350000000.0,N/A,N/A,8.19,N/A,0.0,N/A
Big Rock Brewery Inc.,BR,2021,3,2,5.4,Consumer Defensive,Beverages—Brewers,37700000.0,N/A,N/A,1.04,N/A,0.0,N/A
China Gold International Resources Corp. Ltd.,CGG,2021,3,2,3.14,Basic Materials,Other Precious Metals & Mining,1240000000.0,24.34,N/A,0.83,N/A,0.0,20.202199999999998
Premium Income Corporation,PIC-A,2021,3,2,5.25,Financial Services,Asset Management,70580000.0,N/A,N/A,5.53,0.09519999999999999,N/A,N/A
Canadian Tire Corporation Limited,CTC,2021,3,2,208.0,Consumer Cyclical,Specialty Retail,10680000000.0,16.9,N/A,2.81,0.023399999999999997,0.3696,46.4031659175298
Senvest Capital Inc.,SEC,2021,3,2,286.24,Financial Services,Asset Management,745720000.0,N/A,N/A,0.95,N/A,0.0,N/A
Brompton Lifeco Split Corp.,LCS,2021,3,2,5.79,Financial Services,Asset Management,30970000.0,N/A,N/A,3.34,0.1573,N/A,N/A
Pretium Resources Inc.,PVG,2021,3,2,13.11,Basic Materials,Gold,2450000000.0,N/A,N/A,2.64,N/A,0.0,N/A
Global Atomic Corporation,GLO,2021,3,2,2.25,Basic Materials,Other Industrial Metals & Mining,350280000.0,N/A,N/A,6.68,N/A,0.0,N/A
First Mining Gold Corp.,FF,2021,3,2,0.385,Basic Materials,Gold,267800000.0,N/A,N/A,1.12,N/A,0.0,N/A
Corus Entertainment Inc.,CJR-B,2021,3,2,5.55,Communication Services,Entertainment,1160000000.0,N/A,-1.22,1.19,0.0455,N/A,N/A
Canadian Utilities Limited,CU,2021,3,2,30.42,Utilities,Utilities—Diversified,8330000000.0,23.05,-6.15,1.61,0.0584,1.3194,35.06283068783069
Aptose Biosciences Inc.,APS,2021,3,2,5.09,Healthcare,Biotechnology,452310000.0,N/A,N/A,3.5,N/A,0.0,N/A
SSR Mining Inc.,SSRM,2021,3,2,18.59,Basic Materials,Gold,4090000000.0,21.32,2.91,1.19,0.0141,0.0,25.01804555763731
Kelso Technologies Inc.,KLS,2021,3,2,1.35,Industrials,Railroads,63680000.0,39.71,N/A,5.17,N/A,0.0,205.3007
Profound Medical Corp.,PRN,2021,3,2,28.34,Healthcare,Medical Devices,556200000.0,N/A,N/A,4.47,N/A,0.0,N/A
Corvus Gold Inc.,KOR,2021,3,2,2.47,Basic Materials,Gold,312780000.0,N/A,N/A,26.56,N/A,0.0,N/A
PIMCO Global Income Opportunities Fund,PGI-UN,2021,3,2,9.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Platinum Group Metals Ltd.,PTM,2021,3,2,5.51,Basic Materials,Other Precious Metals & Mining,397830000.0,N/A,N/A,N/A,N/A,0.0,N/A
Sunwah International Limited,SWH,2021,2,25,0.21,Consumer Cyclical,Restaurants,19560000.0,N/A,N/A,0.9,N/A,0.0,N/A
CCL Industries Inc.,CCL-A,2021,3,2,67.19,Consumer Cyclical,Packaging & Containers,12330000000.0,22.81,N/A,3.67,0.0108,0.25739999999999996,82.81826276216859
NorthWest Healthcare Properties Real Estate Investment Trust,NWH-UN,2021,3,2,12.66,Real Estate,REIT—Healthcare Facilities,2440000000.0,26.94,N/A,1.49,0.0634,0.9074,37.74741395523792
Corby Spirit and Wine Limited,CSW-B,2021,3,2,16.29,Consumer Defensive,Beverages—Wineries & Distilleries,480840000.0,14.96,N/A,2.58,0.0519,0.7636,36.6924612605761
Sierra Metals Inc.,SMT,2021,3,2,3.44,Basic Materials,Other Industrial Metals & Mining,560030000.0,27.52,N/A,2.91,N/A,0.0,80.0832
Boardwalk Real Estate Investment Trust,BEI-UN,2021,3,2,38.35,Real Estate,REIT—Residential,1960000000.0,N/A,N/A,0.62,0.0268,N/A,N/A
Tecsys Inc.,TCS,2021,3,2,54.13,Technology,Software—Application,783000000.0,139.87,N/A,11.84,0.0048,0.6446999999999999,1648.1496815286625
Shopify Inc.,SHOP,2021,3,2,1653.79,Technology,Software—Application,202950000000.0,638.53,N/A,31.66,N/A,0.0,20215.8598
Uni-Select Inc.,UNS,2021,3,2,9.94,Consumer Cyclical,Auto Parts,421330000.0,N/A,1.54,0.89,N/A,N/A,N/A
NFI Group Inc.,NFI,2021,3,2,28.01,Consumer Cyclical,Auto Manufacturers,1750000000.0,N/A,-1.06,2.91,0.028900000000000002,N/A,N/A
Celestica Inc.,CLS,2021,3,2,10.65,Technology,Electronic Components,1370000000.0,22.71,N/A,0.98,N/A,0.0,22.2558
Western Forest Products Inc.,WEF,2021,3,2,1.71,Basic Materials,Lumber & Wood Production,641650000.0,19.43,0.42,1.27,0.0187,0.25,24.223127515460884
Alcanna Inc.,CLIQ,2021,3,2,7.23,Consumer Cyclical,Specialty Retail,289550000.0,14.79,N/A,2.98,N/A,0.0,44.0742
Generation Mining Limited,GENM,2021,3,2,1.02,Basic Materials,Other Industrial Metals & Mining,138500000.0,N/A,N/A,10.0,N/A,0.0,N/A
Belo Sun Mining Corp,BSX,2021,3,2,0.79,Basic Materials,Gold,359430000.0,N/A,-2.97,6.53,N/A,0.0,N/A
BMTC Group Inc.,GBT,2021,3,2,11.91,Consumer Cyclical,Specialty Retail,404520000.0,9.36,N/A,1.69,0.0252,0.2205,15.429574717128366
Richards Packaging Income Fund,RPI-UN,2021,3,2,73.0,Consumer Cyclical,Packaging & Containers,819790000.0,24.86,N/A,5.77,0.0181,0.45049999999999996,140.89205382575383
Maxim Power Corp.,MXG,2021,3,2,2.3,Utilities,Utilities—Independent Power Producers,114560000.0,N/A,N/A,0.82,N/A,0.0,N/A
Canaccord Genuity Group Inc.,CF,2021,3,2,11.94,Financial Services,Capital Markets,1150000000.0,9.87,0.54,1.51,0.022799999999999997,0.1736,14.571470473210793
Nomad Royalty Company Ltd.,NSR,2021,3,2,1.05,Basic Materials,Other Precious Metals & Mining,592750000.0,52.5,N/A,2.47,0.0202,N/A,127.10742991570281
Gran Colombia Gold Corp.,GCM,2021,3,2,5.89,Basic Materials,Gold,362770000.0,N/A,N/A,2.15,0.0319,N/A,N/A
Burcon NutraScience Corporation,BU,2021,3,2,4.52,Consumer Defensive,Packaged Foods,484100000.0,4520.0,N/A,13.87,N/A,0.0,62692.399999999994
Morneau Shepell Inc.,MSI,2021,3,2,32.87,Industrials,Staffing & Employment Services,2250000000.0,48.55,4.26,3.36,0.023799999999999998,1.1642000000000001,159.33580777495604
PrairieSky Royalty Ltd.,PSK,2021,3,2,12.84,Energy,Oil & Gas E&P,2870000000.0,93.04,1.09,1.22,0.0202,2.6786000000000003,111.26132130954716
IBI Group Inc.,IBG,2021,3,2,9.29,Industrials,Engineering & Construction,290310000.0,17.2,3.52,5.23,N/A,0.0,89.956
AKITA Drilling Ltd.,AKT-A,2021,3,2,0.9,Energy,Oil & Gas Drilling,36750000.0,N/A,-0.01,0.2,N/A,0.0,N/A
Haivision Systems Inc.,HAI,2021,3,2,10.25,Industrials,Specialty Business Services,272770000.0,0.32,N/A,0.06,N/A,0.0,0.0192
Saputo Inc.,SAP,2021,3,2,35.88,Consumer Defensive,Packaged Foods,14720000000.0,24.02,2.08,2.28,0.0192,0.4631,53.733908948194646
Unisync Corp.,UNI,2021,3,2,2.55,Consumer Cyclical,Apparel Manufacturing,48290000.0,N/A,N/A,1.49,N/A,0.0,N/A
Yangarra Resources Ltd.,YGR,2021,3,2,1.07,Energy,Oil & Gas E&P,91360000.0,12.02,N/A,0.3,N/A,0.0,3.606
SmartCentres Real Estate Investment Trust,SRU-UN,2021,3,2,26.38,Real Estate,REIT—Retail,4490000000.0,50.63,N/A,0.88,0.0698,4.180400000000001,41.647410730977754
Excellon Resources Inc.,EXN,2021,3,2,4.03,Basic Materials,Other Industrial Metals & Mining,129240000.00000001,N/A,N/A,2.46,N/A,0.0,N/A
Almaden Minerals Ltd.,AMM,2021,3,2,0.95,Basic Materials,Gold,114520000.0,N/A,N/A,1.6,N/A,0.0,N/A
Source Energy Services Ltd.,SHLE,2021,3,2,3.3,Energy,Oil & Gas Equipment & Services,44700000.0,N/A,N/A,3.2,N/A,0.0,N/A
SolGold Plc,SOLG,2021,3,2,0.4,Basic Materials,Other Industrial Metals & Mining,772830000.0,N/A,N/A,2.96,N/A,0.0,N/A
Killam Apartment Real Estate Investment Trust,KMP-UN,2021,3,2,18.26,Real Estate,REIT—Residential,1880000000.0,12.9,N/A,1.07,0.0369,0.4783,13.311794772880704
Aurinia Pharmaceuticals Inc.,AUP,2021,3,2,18.16,Healthcare,Biotechnology,2310000000.0,N/A,N/A,5.64,N/A,0.0,N/A
Equitable Group Inc.,EQB,2021,3,2,140.23,Financial Services,Mortgage Finance,2370000000.0,10.83,0.3,1.5,0.010700000000000001,0.1143,16.073018699910953
ATCO Ltd.,ACO-X,2021,3,2,38.17,Utilities,Utilities—Diversified,4400000000.0,17.35,-5.03,1.08,0.04769999999999999,0.7309,17.884890712990362
Treasury Metals Inc.,TML,2021,3,2,0.94,Basic Materials,Gold,105780000.0,N/A,N/A,0.62,N/A,0.0,N/A
Topaz Energy Corp.,TPZ,2021,3,2,14.57,Energy,Oil & Gas Midstream,1640000000.0,31.81,N/A,1.74,N/A,0.0,55.349399999999996
EASTERN PLATINUM LIMITED RTS,ELR-RT,2021,2,22,0.005,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Platinum and Palladium Trust,SPPP,2021,3,2,22.41,N/A,N/A,189800000.0,N/A,N/A,N/A,N/A,N/A,N/A
Sprott Physical Gold Trust,PHYS,2021,3,2,17.43,N/A,N/A,10340000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Nighthawk Gold Corp.,NHK,2021,3,2,1.11,Basic Materials,Gold,57360000.0,N/A,N/A,0.61,N/A,0.0,N/A
NexGen Energy Ltd.,NXE,2021,3,2,4.89,Energy,Uranium,1870000000.0,N/A,N/A,13.18,N/A,0.0,N/A
Vermilion Energy Inc.,VET,2021,3,2,7.9,Energy,Oil & Gas E&P,1250000000.0,N/A,0.0,1.28,N/A,N/A,N/A
Brookfield Property Partners L.P.,BPY-UN,2021,3,2,21.77,Real Estate,Real Estate Services,20230000000.0,N/A,N/A,0.81,0.07730000000000001,N/A,N/A
St. Augustine Gold and Copper Limited,SAU,2021,3,2,0.07,Basic Materials,Other Industrial Metals & Mining,50870000.0,N/A,N/A,0.47,N/A,0.0,N/A
Badger Daylighting Ltd.,BAD,2021,3,2,43.2,Industrials,Engineering & Construction,1510000000.0,38.57,N/A,4.35,0.0141,0.5199,165.44670150872693
Neptune Wellness Solutions Inc.,NEPT,2021,3,2,2.03,Healthcare,Drug Manufacturers—Specialty & Generic,335950000.0,N/A,N/A,2.21,N/A,0.0,N/A
Brand Leaders Income Fund,HBL-UN,2021,3,1,14.1,Financial Services,Asset Management,5250000.0,N/A,N/A,N/A,0.0553,17.333299999999998,N/A
Big Banc Split Corp.,BNK,2021,3,2,12.62,Financial Services,Asset Management,44170000.0,N/A,N/A,N/A,0.06480000000000001,N/A,N/A
Vista Gold Corp.,VGZ,2021,3,2,1.24,Basic Materials,Gold,129660000.0,310.0,N/A,8.05,N/A,0.0,2495.5
FAX Capital Corp.,FXC,2021,3,2,3.8,Financial Services,Capital Markets,163310000.0,24.84,N/A,0.85,N/A,0.0,21.114
BELLUS Health Inc.,BLU,2021,3,2,4.91,Healthcare,Biotechnology,384640000.0,N/A,N/A,2.61,N/A,0.0,N/A
American Hotel Income Properties REIT LP,HOT-UN,2021,3,2,3.89,Real Estate,REIT—Hotel & Motel,304330000.0,N/A,N/A,0.84,N/A,N/A,N/A
Velan Inc.,VLN,2021,3,2,7.7,Industrials,Specialty Industrial Machinery,166210000.0,N/A,N/A,0.56,N/A,N/A,N/A
Minco Silver Corporation,MSV,2021,3,2,0.5,Basic Materials,Silver,30510000.0,N/A,N/A,0.64,N/A,0.0,N/A
Dollarama Inc.,DOL,2021,3,2,49.87,Consumer Defensive,Discount Stores,15520000000.0,27.37,2.04,59.16,0.0038,0.0967,1613.0794979079499
Enbridge Inc.,ENB,2021,3,2,44.25,Energy,Oil & Gas Midstream,89630000000.0,29.96,2.65,1.67,0.076,2.1892,46.499256505576206
Northcliff Resources Ltd.,NCF,2021,3,2,0.06,Basic Materials,Other Industrial Metals & Mining,11470000.0,N/A,N/A,0.48,N/A,0.0,N/A
Vecima Networks Inc.,VCM,2021,3,2,14.3,Technology,Communication Equipment,326850000.0,N/A,N/A,1.88,0.015600000000000001,N/A,N/A
Energy Fuels Inc.,EFR,2021,3,2,7.81,Energy,Uranium,1050000000.0,N/A,N/A,6.76,N/A,0.0,N/A
Canadian Tire Corporation Limited,CTC-A,2021,3,2,166.04,Consumer Cyclical,Specialty Retail,10210000000.0,13.49,1.43,2.24,0.027999999999999997,0.3696,29.39455252918288
Indigo Books & Music Inc.,IDG,2021,3,2,3.92,Consumer Cyclical,Specialty Retail,106910000.0,N/A,N/A,1.76,N/A,0.0,N/A
Dexterra Group Inc.,DXT,2021,3,2,6.05,Industrials,Engineering & Construction,392460000.0,3.47,0.3,1.29,0.0506,N/A,4.260708166761851
Choice Properties Real Estate Investment Trust,CHP-UN,2021,3,2,13.0,Real Estate,REIT—Retail,4250000000.0,9.43,N/A,1.21,0.057699999999999994,0.5367999999999999,10.787841542970595
United Corporations Limited,UNC,2021,3,2,107.49,Financial Services,Asset Management,1300000000.0,6.16,N/A,0.63,0.0113,0.0683,3.8374369623257194
Fission Uranium Corp.,FCU,2021,3,2,0.6,Energy,Uranium,346560000.0,N/A,N/A,0.92,N/A,0.0,N/A
Dorel Industries Inc.,DII-B,2021,3,2,13.92,Consumer Cyclical,Furnishings Fixtures & Appliances,453140000.0,N/A,1.0,0.9,N/A,0.0,N/A
Ridgewood Canadian Investment Grade Bond Fund,RIB-UN,2021,3,2,17.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Electrovaya Inc.,EFL,2021,3,2,2.0,Industrials,Electrical Equipment & Parts,264079999.99999997,222.22,N/A,N/A,N/A,0.0,N/A
First Majestic Silver Corp.,FR,2021,3,2,22.11,Basic Materials,Silver,4920000000.0,204.72,0.12,5.77,N/A,0.0,1181.2343999999998
Century Global Commodities Corporation,CNT,2021,3,1,0.24,Consumer Defensive,Food Distribution,23640000.0,N/A,N/A,0.96,N/A,0.0,N/A
Hammond Power Solutions Inc.,HPS-A,2021,3,2,9.36,Industrials,Electrical Equipment & Parts,109930000.0,8.33,N/A,0.95,0.0379,0.2754,7.624530301570479
Canada Goose Holdings Inc.,GOOS,2021,3,2,58.5,Consumer Cyclical,Apparel Manufacturing,6450000000.0,92.86,3.6,10.74,N/A,0.0,997.3164
Exchange Income Corporation,EIF,2021,3,2,40.63,Industrials,Airlines,1440000000.0,52.09,1.49,2.1,0.055,2.9231,103.68625592417064
Fortuna Silver Mines Inc.,FVI,2021,3,2,9.33,Basic Materials,Silver,1720000000.0,77.11,N/A,2.43,N/A,0.0,187.37730000000002
Lundin Gold Inc.,LUG,2021,3,2,10.03,Basic Materials,Gold,2310000000.0,N/A,N/A,3.93,N/A,0.0,N/A
Sienna Senior Living Inc.,SIA,2021,3,2,14.06,Healthcare,Medical Care Facilities,942570000.0,N/A,N/A,2.11,0.0661,N/A,N/A
Birchcliff Energy Ltd.,BIR,2021,3,2,2.86,Energy,Oil & Gas E&P,760590000.0,N/A,0.22,0.49,0.0067,N/A,N/A
Points International Ltd.,PTS,2021,3,2,20.21,Communication Services,Internet Content & Information,267329999.99999997,N/A,-1.28,7.68,N/A,0.0,N/A
Summit Industrial Income REIT,SMU-UN,2021,3,2,13.77,Real Estate,REIT—Industrial,2310000000.0,9.68,N/A,1.22,0.0395,0.3797,11.360846560846559
Husky Energy Inc.,HSE,2021,2,5,6.76,Energy,Oil & Gas Integrated,6790000000.0,N/A,N/A,N/A,N/A,N/A,N/A
Canopy Growth Corporation,WEED,2021,3,2,44.47,Healthcare,Drug Manufacturers—Specialty & Generic,16920000000.000002,N/A,-0.23,4.2,N/A,0.0,N/A
Wall Financial Corporation,WFC,2021,3,2,15.25,Real Estate,Real Estate—Development,517789999.99999994,N/A,N/A,2.81,N/A,0.0,N/A
Cargojet Inc.,CJT,2021,3,2,173.09,Industrials,Integrated Freight & Logistics,3000000000.0,N/A,N/A,13.57,0.0053,N/A,N/A
Western Energy Services Corp.,WRG,2021,3,1,0.405,Energy,Oil & Gas Drilling,36920000.0,N/A,0.07,0.17,N/A,0.0,N/A
Aberdeen Asia-Pacific Income Investment Company Limited,FAP,2021,3,2,3.21,Financial Services,Asset Management,162890000.0,N/A,N/A,0.79,0.08439999999999999,N/A,N/A
Income Financial Trust,INC-UN,2021,3,2,9.9,Financial Services,Asset Management,23000000.0,N/A,N/A,1.61,0.0983,1.6784000000000001,N/A
i3 Energy Plc,ITE,2021,3,2,0.17,Energy,Oil & Gas E&P,104240000.0,N/A,N/A,4.36,N/A,0.0,N/A
Perseus Mining Limited,PRU,2021,3,2,1.1,Basic Materials,Gold,1390000000.0,N/A,N/A,2.18,N/A,0.0,N/A
VIVO Cannabis Inc.,VIVO,2021,3,2,0.19,Healthcare,Drug Manufacturers—Specialty & Generic,69740000.0,N/A,N/A,0.34,N/A,0.0,N/A
Nuvo Pharmaceuticals Inc.,MRV,2021,3,2,1.7,Healthcare,Drug Manufacturers—Specialty & Generic,19360000.0,N/A,N/A,1.05,N/A,0.0,N/A
TMAC Resources Inc.,TMR,2021,2,3,2.2,Basic Materials,Gold,286610000.0,N/A,N/A,0.83,N/A,N/A,N/A
Total Energy Services Inc.,TOT,2021,3,2,3.65,Energy,Oil & Gas Equipment & Services,164550000.0,N/A,-0.79,0.32,N/A,N/A,N/A
Atalaya Mining Plc,AYM,2021,3,2,5.77,Basic Materials,Copper,806480000.0,21.06,N/A,2.47,N/A,0.0,52.0182
Slate Office REIT,SOT-UN,2021,3,2,4.3,Real Estate,REIT—Office,291390000.0,21.39,N/A,0.48,0.0956,2.1444,9.371303395399783
,NCU-WT,2021,2,3,0.055,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Hut 8 Mining Corp.,HUT,2021,3,2,10.61,Financial Services,Capital Markets,1190000000.0,N/A,N/A,24.96,N/A,0.0,N/A
Brookfield Asset Management Inc.,BAM-A,2021,3,2,53.0,Financial Services,Asset Management,80010000000.0,N/A,N/A,2.53,0.0124,N/A,N/A
International Petroleum Corporation,IPCO,2021,3,2,4.13,Energy,Oil & Gas E&P,648200000.0,N/A,N/A,0.91,N/A,0.0,N/A
CI Galaxy Bitcoin Fund,BTCG-UN,2021,3,2,24.99,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Emera Incorporated,EMA,2021,3,2,51.7,Utilities,Utilities—Diversified,13000000000.0,13.68,3.55,1.59,0.05,0.6548,20.71542857142857
Osisko Mining Inc.,OSK,2021,3,2,2.87,Basic Materials,Other Precious Metals & Mining,1030000000.0,N/A,N/A,1.42,N/A,0.0,N/A
Taseko Mines Limited,TKO,2021,3,2,2.17,Basic Materials,Other Industrial Metals & Mining,614180000.0,N/A,0.74,1.93,N/A,0.0,N/A
FirstService Corporation,FSV,2021,3,2,195.56,Real Estate,Real Estate Services,8570000000.0,96.81,186.25,12.91,0.0048,0.3267,1243.8466361464968
GDI Integrated Facility Services Inc.,GDI,2021,3,2,45.75,Industrials,Specialty Business Services,1040000000.0,33.94,N/A,3.23,N/A,0.0,109.6262
CES Energy Solutions Corp.,CEU,2021,3,2,1.57,Energy,Oil & Gas Equipment & Services,408630000.0,N/A,-0.11,0.93,N/A,N/A,N/A
Héroux-Devtek Inc.,HRX,2021,3,2,16.17,Industrials,Aerospace & Defense,588300000.0,N/A,0.87,1.58,N/A,0.0,N/A
Roxgold Inc.,ROXG,2021,3,2,1.55,Basic Materials,Gold,578290000.0,39.74,2.1,3.22,N/A,0.0,127.96280000000002
Teck Resources Limited,TECK-B,2021,3,2,26.8,Basic Materials,Other Industrial Metals & Mining,14260000000.0,N/A,0.3,0.71,0.0075,N/A,N/A
Quarterhill Inc.,QTRH,2021,3,2,2.88,Technology,Communication Equipment,330020000.0,9.35,0.44,1.11,0.0174,0.2298,10.201002555533714
Big Pharma Split Corp.,PRM,2021,3,2,13.5,Financial Services,Asset Management,12620000.0,6.62,N/A,0.97,0.09029999999999999,0.7498,5.889571677519949
Tourmaline Oil Corp.,TOU,2021,3,2,23.1,Energy,Oil & Gas E&P,6290000000.0,124.19,9.09,0.81,0.0242,2.5263,98.2170474516696
MAG Silver Corp.,MAG,2021,3,2,23.67,Basic Materials,Silver,2240000000.0,N/A,-2.76,7.44,N/A,0.0,N/A
Condor Gold Plc,COG,2021,3,2,0.89,Basic Materials,Gold,107620000.0,N/A,N/A,2.1,N/A,0.0,N/A
Great Panther Mining Limited,GPR,2021,3,2,1.19,Basic Materials,Other Industrial Metals & Mining,422130000.0,N/A,N/A,4.58,N/A,0.0,N/A
Intermap Technologies Corporation,IMP,2021,3,2,1.01,Technology,Software—Application,25320000.0,0.65,N/A,53.16,N/A,0.0,34.554
Bank of Montreal,BMO,2021,3,2,107.4,Financial Services,Banks—Diversified,69470000000.0,13.07,0.96,1.33,0.0395,0.5164,16.722558922558925
Trilogy International Partners Inc.,TRL,2021,3,2,1.42,Communication Services,Telecom Services,83960000.0,N/A,13.67,N/A,N/A,0.0,N/A
OceanaGold Corporation,OGC,2021,3,2,1.83,Basic Materials,Gold,1290000000.0,N/A,0.24,0.82,N/A,0.0,N/A
Resolute Forest Products Inc.,RFP,2021,3,2,11.86,Basic Materials,Paper & Paper Products,967680000.0,102.24,N/A,0.9,N/A,0.0,92.01599999999999
Aura Minerals Inc.,ORA,2021,3,2,12.4,Basic Materials,Gold,877210000.0,12.53,N/A,3.0,N/A,0.0,37.589999999999996
Cardinal Resources Limited,CDV,2021,3,1,1.04,Basic Materials,Gold,575960000.0,N/A,N/A,N/A,N/A,N/A,N/A
Touchstone Exploration Inc.,TXP,2021,3,2,2.63,Energy,Oil & Gas E&P,548880000.0,N/A,-0.8,16.75,N/A,0.0,N/A
Northview Canadian High Yield Residential Fund,NHF-UN,2021,3,2,14.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Clairvest Group Inc.,CVG,2021,2,26,58.4,Financial Services,Asset Management,879410000.0,13.52,N/A,1.04,0.0017000000000000001,0.0231,14.036937206748528
RioCan Real Estate Investment Trust,REI-UN,2021,3,2,19.29,Real Estate,REIT—Retail,6130000000.0,N/A,N/A,0.79,0.0506,N/A,N/A
Ovintiv Inc.,OVV,2021,3,2,31.17,Energy,Oil & Gas E&P,8100000000.0,N/A,N/A,2.11,0.016200000000000003,N/A,N/A
The Descartes Systems Group Inc,DSG,2021,3,2,75.74,Technology,Software—Application,6400000000.0,137.96,N/A,7.35,N/A,0.0,1014.006
Sun Life Financial Inc.,SLF,2021,3,2,63.28,Financial Services,Insurance—Diversified,37030000000.0,15.44,1.33,1.57,0.035699999999999996,0.5354,23.405233175630006
Computer Modelling Group Ltd.,CMG,2021,3,2,6.14,Technology,Software—Application,492960000.0,21.47,-9.3,11.48,0.0335,0.8621,238.48630865989352
MCAN Mortgage Corporation,MKP,2021,3,2,17.54,Financial Services,Mortgage Finance,435370000.0,10.02,N/A,1.25,0.0789,1.0388,11.60904625081101
Endeavour Mining Corporation,EDV,2021,3,2,24.37,Basic Materials,Gold,5920000000.0,N/A,0.11,1.96,0.020099999999999996,0.0,N/A
Tree Island Steel Ltd.,TSL,2021,3,2,2.45,Basic Materials,Steel,69960000.0,306.25,N/A,1.4,0.0327,8.0,415.1738162099351
Sierra Wireless Inc.,SW,2021,3,2,21.29,Technology,Communication Equipment,778640000.0,N/A,N/A,2.18,N/A,0.0,N/A
Xanadu Mines Limited,XAM,2021,3,2,0.06,Basic Materials,Other Precious Metals & Mining,59790000.0,N/A,N/A,1.09,N/A,0.0,N/A
Erdene Resource Development Corporation,ERD,2021,3,2,0.415,Basic Materials,Other Industrial Metals & Mining,111030000.0,N/A,N/A,3.49,N/A,0.0,N/A
U.S. Financials Income Fund,USF-UN,2021,3,2,5.93,Financial Services,Asset Management,5450000.0,N/A,N/A,N/A,0.08460000000000001,N/A,N/A
